"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testAddNegative","Surefire suite","Thu Feb 06 20:40:31 GMT 2025","passed","Thu Feb 06 20:40:31 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testAddNegative"
"","1","testAdd","Surefire suite","Thu Feb 06 20:40:31 GMT 2025","passed","Thu Feb 06 20:40:31 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testAdd"
"","1","testFac","Surefire suite","Thu Feb 06 20:40:31 GMT 2025","passed","Thu Feb 06 20:40:31 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testFac"
"","1","getCircleAreaRadiusFromDataProvider","Surefire suite","Thu Feb 06 20:40:31 GMT 2025","passed","Thu Feb 06 20:40:31 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleAreaRadiusFromDataProvider"
"","1","testAdd","Surefire suite","Thu Feb 06 20:40:31 GMT 2025","passed","Thu Feb 06 20:40:31 GMT 2025","AnnotationTest","Surefire test","AnnotationTest","testAdd"
"","1","Shows the usage of the delta parameter.","Surefire suite","Thu Feb 06 20:40:31 GMT 2025","passed","Thu Feb 06 20:40:31 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleArea"
"","1","testMultiply","Surefire suite","Thu Feb 06 20:40:31 GMT 2025","passed","Thu Feb 06 20:40:31 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testMultiply"
"","1","testNotGreaterThan","Surefire suite","Thu Feb 06 20:40:30 GMT 2025","passed","Thu Feb 06 20:40:30 GMT 2025","RelationsTest","Surefire test","RelationsTest","testNotGreaterThan"
"","1243","testAckermannStackOverflow","Surefire suite","Thu Feb 06 20:40:30 GMT 2025","passed","Thu Feb 06 20:40:31 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermannStackOverflow"
"","0","testDivide","Surefire suite","Thu Feb 06 20:40:31 GMT 2025","passed","Thu Feb 06 20:40:31 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testDivide"
"","1","testInitializedSimpleMath","Surefire suite","Thu Feb 06 20:40:31 GMT 2025","passed","Thu Feb 06 20:40:31 GMT 2025","AnnotationTest","Surefire test","AnnotationTest","testInitializedSimpleMath"
"","0","testNegativeFac","Surefire suite","Thu Feb 06 20:40:31 GMT 2025","passed","Thu Feb 06 20:40:31 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testNegativeFac"
"","129","testAckermann","Surefire suite","Thu Feb 06 20:40:30 GMT 2025","passed","Thu Feb 06 20:40:30 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermann"
"","1","testAckermannDisabled","Surefire suite","Thu Feb 06 20:40:30 GMT 2025","unknown","Thu Feb 06 20:40:30 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermannDisabled"
"","2","getCircleAreaRadiusFromDataProvider","Surefire suite","Thu Feb 06 20:40:31 GMT 2025","passed","Thu Feb 06 20:40:31 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleAreaRadiusFromDataProvider"
"","9","testGreaterThan","Surefire suite","Thu Feb 06 20:40:30 GMT 2025","passed","Thu Feb 06 20:40:30 GMT 2025","RelationsTest","Surefire test","RelationsTest","testGreaterThan"
"","0","testMultiplyNegative","Surefire suite","Thu Feb 06 20:40:31 GMT 2025","passed","Thu Feb 06 20:40:31 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testMultiplyNegative"
"","0","testDivideZero","Surefire suite","Thu Feb 06 20:40:31 GMT 2025","passed","Thu Feb 06 20:40:31 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testDivideZero"
